Gene,Wtrep1,Wtrep2,Wtrep3,Kocna1rep1,Kocna1rep2,Kocrz1rep1,Kocrz1rep2,Kocrz1rep3,pmc1005,pmc1006,pmc1007,Wtpmc1008,Wtpmc1009,Wtpmc1010
CNAG_00001,26,16,39,26,19,19,26,19,0,0,1,1,1,1
CNAG_00002,1459,978,1090,1650,1077,1826,1325,1082,6,18,28,33,29,23
CNAG_00003,397,594,531,636,585,452,765,688,5,5,14,6,4,7
CNAG_00004,1635,1542,1481,1920,1369,1662,2204,1711,11,31,27,17,16,27
CNAG_00005,6,24,5,16,15,7,26,13,0,0,0,0,0,1
CNAG_00006,3504,3908,3847,8104,4845,3127,6788,4468,27,114,121,82,57,77
CNAG_00007,1244,1597,1541,1458,1336,1657,2656,1852,13,27,30,22,21,21
CNAG_00008,1688,3600,3102,3656,3019,1620,4747,3526,5,38,26,17,14,22
CNAG_00009,427,1050,681,1051,858,462,1474,987,10,24,17,16,10,14
CNAG_00010,708,2465,1650,2349,1879,648,3082,2163,16,28,22,47,24,48
CNAG_00011,19903,4952,8300,2497,2043,12254,5936,5446,10,23,15,12,9,22
CNAG_00012,1109,2626,1934,3716,2359,858,3838,2075,8,20,32,26,12,23
CNAG_00013,4811,2391,3335,2152,1741,4080,3475,2800,8,15,20,13,10,16
CNAG_00014,280,484,468,463,355,373,690,460,1,3,5,4,3,3
CNAG_00015,1859,849,1217,1167,720,773,899,965,17,41,42,16,13,17
CNAG_00016,19165,5086,6179,3724,2682,16663,6993,6077,12,32,38,27,11,26
CNAG_00017,417,563,421,592,396,359,690,523,3,12,8,7,5,7
CNAG_00018,2987,2438,2734,2749,1972,2848,3395,2690,8,19,41,19,24,10
CNAG_00019,1168,1316,1788,1728,1211,1105,2038,1517,13,32,41,41,42,45
CNAG_00020,459,1031,770,1323,965,352,1256,848,5,13,18,6,6,10
CNAG_00021,99,257,161,235,162,105,335,250,2,5,6,10,7,8
CNAG_00022,4206,3038,3680,3572,2803,3785,4363,3766,5,18,22,21,18,26
CNAG_00023,1394,434,510,558,320,948,557,503,17,47,31,13,7,5
CNAG_00024,6701,12493,12408,9096,7726,6182,16063,12368,37,85,89,109,107,145
CNAG_00025,2753,2859,3636,1714,1166,928,2080,1654,33,60,68,44,27,52
CNAG_00026,1372,2870,2093,3642,2137,1998,3664,2732,23,62,80,96,80,83
CNAG_00027,996,1669,1504,1733,1329,845,2450,1604,7,12,16,4,5,8
CNAG_00028,586,1196,1218,1348,1008,817,2069,1729,8,9,31,18,13,15
CNAG_00029,182,247,230,253,156,294,483,410,0,3,6,5,7,1
CNAG_00030,23,145,61,80,43,39,169,102,1,3,5,2,2,2
CNAG_00031,809,1273,913,1667,1241,990,1908,1354,3,10,13,15,12,13
CNAG_00032,250,211,198,291,183,366,345,318,1,2,3,4,0,1
CNAG_00033,0,2,5,4,2,0,4,4,0,0,0,0,0,0
CNAG_00034,2406,9789,7512,11028,6812,2754,14043,7237,52,206,299,455,305,386
CNAG_00035,321,545,427,530,371,231,562,418,4,12,9,7,3,3
CNAG_00036,3007,2006,2314,1023,959,1540,2306,1581,9,13,32,10,12,15
CNAG_00038,10427,4622,5854,3308,2753,9346,6345,5159,11,39,38,46,28,56
CNAG_00039,1172,2103,2233,2331,2194,1152,3175,2423,16,52,68,52,44,58
CNAG_00040,2291,1437,2416,1510,1164,1738,2600,1980,33,62,90,49,41,50
CNAG_00043,3898,3560,4507,3479,2885,4319,5834,4894,3,13,7,10,5,8
CNAG_00044,7262,6631,6728,6373,5609,7121,11070,7577,5,12,23,12,7,13
CNAG_00045,3611,2094,2349,3808,2233,1865,2621,2254,10,27,32,14,9,15
CNAG_00046,4917,10838,7867,18013,12400,4900,14800,9063,16,62,69,50,40,31
CNAG_00047,6342,920,2044,1153,790,8809,2378,2580,12,39,36,20,16,22
CNAG_00048,133,219,183,325,239,69,264,238,0,1,2,2,1,2
CNAG_00049,89,112,91,215,109,42,169,133,1,3,1,1,0,1
CNAG_00050,296,434,481,591,440,344,699,517,8,4,4,7,1,7
CNAG_00051,1379,3249,2826,2740,2908,1473,4307,3151,31,40,45,36,41,54
CNAG_00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00053,327,155,125,266,237,264,344,229,0,6,5,0,1,1
CNAG_00054,3622,1568,2165,1254,906,2122,3517,2209,5,13,23,18,16,19
CNAG_00055,1469,1243,1818,2001,1599,1472,1807,1353,3,12,10,17,9,16
CNAG_00056,1427,2216,1970,1834,1534,933,2507,1863,12,23,22,8,9,9
CNAG_00057,13869,11620,12148,8670,8343,9785,23972,15364,34,138,146,128,128,182
CNAG_00058,2694,6204,6056,7869,5659,2377,10287,6345,31,67,68,71,53,65
CNAG_00059,502,372,248,313,279,954,486,439,2,4,5,6,1,2
CNAG_00060,765,933,910,1172,832,664,1606,1127,10,25,23,33,31,31
CNAG_00061,8404,11678,10146,16028,11782,9764,19018,11781,224,738,837,619,541,649
CNAG_00062,3006,7907,4896,14674,9733,2483,11203,6221,24,39,59,43,28,49
CNAG_00063,167,366,279,411,262,126,536,358,3,7,15,10,9,6
CNAG_00064,11498,7405,8796,6111,5381,6804,9107,7140,8,32,51,18,12,23
CNAG_00065,2912,4937,4900,6095,4566,2440,7223,4992,28,81,92,96,77,110
CNAG_00066,1771,3940,3125,3301,2797,1383,4866,3073,19,35,55,56,54,68
CNAG_00067,11942,8673,9872,8191,6590,7931,11475,10067,12,34,50,28,35,26
CNAG_00068,293,743,572,897,603,254,986,684,10,24,41,46,36,45
CNAG_00069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00070,921,1749,1723,2059,1313,822,2068,1474,15,42,28,82,61,89
CNAG_00072,4491,8407,8363,9880,7302,3328,11064,7054,23,85,111,59,49,53
CNAG_00073,7715,5768,5928,4467,4002,6005,7680,5684,6,27,31,19,19,22
CNAG_00074,3994,6628,6136,2695,2527,1853,5869,3797,19,63,56,59,36,72
CNAG_00075,13432,4837,5813,2679,2578,7153,6516,4488,8,21,26,20,11,14
CNAG_00076,412,1260,807,2059,1743,453,2060,1341,9,19,16,26,9,26
CNAG_00077,1277,2116,2488,3377,1887,1230,2446,2344,77,216,257,228,181,203
CNAG_00078,562,1893,937,2197,1752,686,2428,1509,10,34,36,31,30,27
CNAG_00079,652,790,443,692,689,677,1233,750,19,41,46,26,25,24
CNAG_00080,188,134,185,400,274,240,266,275,0,3,4,3,1,1
CNAG_00081,5778,6196,6352,6576,5462,4914,9420,6897,30,55,60,41,26,31
CNAG_00082,2550,2529,2980,2600,1856,2300,3303,2811,22,36,42,15,20,25
CNAG_00083,1444,2445,2344,2598,1815,1136,3026,2519,6,14,18,16,4,11
CNAG_00084,887,2703,2082,3454,2429,1072,3840,2695,24,57,66,72,59,62
CNAG_00085,355,401,396,565,397,232,541,399,3,4,5,2,2,2
CNAG_00086,86,508,291,391,378,72,667,457,15,22,20,35,40,47
CNAG_00087,4017,5264,4860,3735,3267,2623,6628,4739,2,23,24,14,13,14
CNAG_00088,12174,5716,5885,12614,7454,8719,9364,6393,29,115,139,90,76,108
CNAG_00089,1600,1384,1501,1770,1203,1572,2075,1576,11,36,35,28,21,34
CNAG_00090,2005,1984,2516,2721,2077,2631,3120,2799,9,51,40,16,12,25
CNAG_00091,435799,65292,177653,7257,8064,124870,89567,74333,33,112,119,120,101,118
CNAG_00092,5489,4587,4544,6230,4046,5242,6566,5262,18,50,91,59,39,60
CNAG_00093,16708,10533,14271,4366,4771,9653,16302,10208,17,36,56,33,27,36
CNAG_00094,172,323,184,515,348,202,581,298,3,25,30,8,13,7
CNAG_00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00096,192,585,422,506,457,189,771,454,1,6,7,3,4,3
CNAG_00097,250,484,360,835,613,229,757,536,5,6,4,5,3,4
CNAG_00098,7304,2927,3057,3662,2782,5338,5226,3996,2,7,13,3,1,2
CNAG_00099,93,876,483,1321,1149,125,1393,832,5,19,24,36,23,42
CNAG_00100,14817,31032,33118,40908,31027,13706,49559,33728,27,82,101,38,45,52
CNAG_00101,3111,1845,1974,1705,1458,2739,2534,2020,6,26,25,21,12,21
CNAG_00104,450,2125,1716,2164,1825,592,2315,1835,77,164,228,326,229,309
CNAG_00105,259,467,472,636,404,283,696,524,3,7,9,6,2,8
CNAG_00106,2443,4259,4532,4343,4008,1979,6462,5018,10,30,27,34,38,59
CNAG_00107,3759,3521,4162,4379,3457,2854,6351,4453,1,7,7,9,9,6
CNAG_00108,2727,4642,4189,4978,4100,2411,6791,4116,12,35,50,22,18,29
CNAG_00109,1390,2121,2043,2861,1855,1220,3078,2100,7,21,17,25,21,20
CNAG_00110,36,256,60,244,204,31,356,153,4,1,5,0,2,1
CNAG_00111,3348,5045,5150,5367,4394,3120,7252,5192,14,49,50,36,35,44
CNAG_00115,7506,8876,9010,3702,3410,3951,10772,6555,78,221,255,113,93,157
CNAG_00116,2365,7941,5727,8817,5741,2774,10861,5565,62,219,253,513,312,483
CNAG_00117,868,1831,1427,1993,1359,658,2494,1401,10,19,37,23,20,24
CNAG_00118,631,632,660,792,552,691,838,639,5,6,13,12,5,7
CNAG_00119,133,322,191,412,199,96,357,218,0,6,12,2,4,2
CNAG_00120,1860,1129,1520,1022,775,1785,1800,1494,2,9,21,20,14,11
CNAG_00121,9561,14836,16254,13514,10080,6718,24111,14348,65,199,229,186,133,167
CNAG_00122,161,338,205,150,163,85,428,238,1,3,6,1,4,7
CNAG_00123,1286,1073,1107,1249,852,1193,1496,1247,2,10,12,13,9,20
CNAG_00124,136,540,502,1037,684,181,735,714,3,10,10,10,12,16
CNAG_00125,219,432,329,378,294,272,517,427,4,15,11,3,11,4
CNAG_00126,1426,2098,1889,1480,1224,1096,2995,1901,30,135,138,67,62,84
CNAG_00127,986,902,601,1523,1079,1450,1737,1596,3,12,10,15,4,17
CNAG_00128,4,40,11,19,34,4,66,26,0,0,0,0,0,0
CNAG_00129,245,753,543,739,524,254,773,627,6,31,17,10,9,17
CNAG_00130,17794,16720,19870,8092,8251,8907,23614,14955,25,80,86,129,136,122
CNAG_00131,498,304,363,248,145,220,308,207,2,6,3,5,5,6
CNAG_00132,678,1221,1440,1271,925,577,1624,1708,2,3,3,3,2,3
CNAG_00133,1428,982,1062,1048,724,845,1281,969,1,2,5,7,2,1
CNAG_00134,779,1198,1142,1267,1067,555,1606,1229,0,1,5,3,1,4
CNAG_00135,870,924,918,655,546,491,1165,845,3,7,9,16,4,7
CNAG_00136,9231,16647,15004,16872,14994,8170,22716,15746,34,78,86,63,51,49
CNAG_00137,3668,4752,6481,3719,3047,1885,5529,4375,18,65,57,76,54,76
CNAG_00138,1813,3293,3539,3109,2143,1380,4550,2799,13,38,64,39,23,45
CNAG_00139,25778,20312,26234,11738,8168,13265,33422,21940,30,107,87,148,113,153
CNAG_00140,5508,5098,5008,5381,4134,4037,6961,5539,16,38,39,46,27,32
CNAG_00141,1459,896,1465,7318,2848,2272,1639,2230,6,6,9,21,8,23
CNAG_00142,79,188,212,148,197,74,283,174,1,9,10,7,7,10
CNAG_00143,306,1562,714,1240,1068,356,1678,884,8,16,17,34,17,33
CNAG_00144,617,564,485,700,527,509,758,614,0,9,4,5,2,2
CNAG_00145,1392,1431,1034,1572,1277,1363,1977,1424,4,12,8,8,5,8
CNAG_00146,1070,2687,2274,3006,2140,974,3516,2349,14,37,20,16,18,18
CNAG_00147,5076,17759,14392,23117,19556,5891,26878,17371,63,163,184,177,140,192
CNAG_00148,2564,6299,4993,4476,3982,2280,7402,4891,28,42,59,28,34,44
CNAG_00149,315,1485,728,2589,1423,454,1367,721,18,92,117,113,72,81
CNAG_00150,441,2798,1229,1962,1573,443,2403,1487,16,25,31,26,20,23
CNAG_00151,6237,5480,5995,5690,4313,4718,7560,6047,3,19,14,18,8,19
CNAG_00152,840,1722,1742,1919,1446,809,2179,1737,3,17,21,21,14,21
CNAG_00153,388,509,475,643,427,245,569,490,1,8,6,7,6,15
CNAG_00154,1917,3724,3221,3148,2150,1193,4882,2896,11,39,33,10,12,18
CNAG_00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00156,2394,4741,3983,4649,3742,1615,1413,1091,25,78,95,41,36,35
CNAG_00157,1808,2589,2817,2604,1873,1512,3203,2098,19,70,98,65,41,49
CNAG_00158,144,275,208,336,324,158,438,286,1,0,3,1,2,0
CNAG_00159,987,1115,875,1128,865,710,1305,946,1,7,5,10,6,2
CNAG_00160,267,571,560,614,468,312,682,598,4,8,7,1,0,0
CNAG_00161,1110,1044,624,1158,1017,969,1488,1054,2,8,6,4,1,9
CNAG_00162,4124,9553,3892,4542,4929,7080,17619,5723,153,575,439,816,656,714
CNAG_00163,2166,2693,2783,3248,2646,2272,3964,2857,9,27,25,22,11,14
CNAG_00164,123,412,151,1803,1271,203,692,497,1,3,1,7,5,12
CNAG_00165,519,1207,976,1776,1124,414,1384,985,35,94,93,110,93,169
CNAG_00166,106,363,415,497,346,211,556,447,10,31,36,44,28,47
CNAG_00167,1522,1894,1891,2198,1490,1268,2496,1894,5,14,23,7,11,11
CNAG_00171,957,1295,1043,1721,1081,756,1528,1310,4,14,15,6,1,4
CNAG_00172,19,162,34,120,122,25,204,133,0,0,0,1,0,0
CNAG_00173,3596,1730,2081,2020,1553,2477,2244,1797,4,18,14,6,10,12
CNAG_00174,1712,3060,2944,2710,2179,1185,3661,2750,11,15,17,6,9,11
CNAG_00175,1129,2014,1668,1568,1070,779,2173,1384,20,28,30,19,20,17
CNAG_00176,1353,3471,2482,7233,5354,1440,5359,3304,7,39,48,33,27,45
CNAG_00177,97,400,252,1034,660,70,431,424,0,4,0,2,0,0
CNAG_00178,1291,2301,2119,1976,1559,912,2256,1846,7,12,20,10,10,13
CNAG_00179,63,90,83,119,49,92,100,92,0,1,4,2,0,1
CNAG_00180,3574,4284,4435,3449,2408,2378,6690,4318,8,15,14,12,9,11
CNAG_00181,5990,3177,3497,3579,2897,3899,4643,3854,3,23,16,2,8,15
CNAG_00182,11643,3485,3753,3649,2777,13313,5080,3953,11,42,51,18,14,33
CNAG_00183,695,685,886,1010,777,861,1831,1340,18,38,45,31,36,51
CNAG_00184,1936,2515,2821,2630,2113,1435,3354,2625,13,42,44,33,28,26
CNAG_00185,2262,2888,3023,6050,4134,2289,5268,3788,9,28,24,14,8,10
CNAG_00186,267,247,293,284,160,160,400,279,2,7,5,9,7,5
CNAG_00187,2579,2723,3355,2547,1935,2556,4033,3539,7,13,16,13,18,14
CNAG_00188,592,983,1052,1442,896,465,1475,912,9,29,33,13,12,17
CNAG_00189,1414,1425,1451,2622,1777,1796,2245,1801,4,17,22,15,7,10
CNAG_00190,3728,3597,4579,16498,8143,3588,5446,4823,20,55,88,41,40,54
CNAG_00191,768,557,608,728,488,827,919,828,3,27,21,25,19,24
CNAG_00192,1048,1545,1557,1927,1376,831,2053,1851,13,37,28,61,52,71
CNAG_00193,1307,4330,3230,4700,3959,938,3880,2586,27,78,89,73,64,76
CNAG_00194,413,720,787,1962,1411,401,1044,759,22,51,61,65,56,76
CNAG_00195,1636,1118,1422,1297,998,1995,1492,1232,7,31,39,52,29,36
CNAG_00229,572,426,414,444,253,336,599,436,0,10,3,6,3,7
CNAG_00231,159,390,356,452,335,179,640,452,2,12,9,10,13,12
CNAG_00232,9047,7973,6940,7741,5377,20491,10400,6116,50,99,152,275,165,244
CNAG_00233,3507,2761,3835,3846,2750,2904,4237,4244,14,22,44,47,31,38
CNAG_00234,335,884,814,1338,836,362,1346,915,5,3,13,6,6,10
CNAG_00235,570,2353,1925,5044,3313,630,3242,2280,88,221,252,191,170,209
CNAG_00236,101,269,173,800,583,112,448,390,7,16,26,25,16,24
CNAG_00237,1051,6942,3887,9987,7525,1646,9051,4697,34,86,102,66,53,75
CNAG_00238,2667,9969,6620,7847,8175,3015,12517,7353,32,84,86,98,85,113
CNAG_00239,622,1146,1268,1637,1047,500,1352,1097,11,27,30,20,10,20
CNAG_00240,323,1130,856,1224,816,309,1372,1037,10,21,15,24,15,20
CNAG_00241,1265,1751,1819,2076,1593,1451,2197,1904,4,31,35,26,37,30
CNAG_00242,50,86,74,128,87,97,118,121,1,3,0,0,1,1
CNAG_00243,888,1102,1203,1231,791,828,1467,1090,5,13,17,12,13,9
CNAG_00246,1998,2727,3168,2473,2055,1211,2937,2118,17,35,30,26,16,24
CNAG_00247,1890,2473,2481,2095,2321,2121,3132,2042,3,7,4,12,10,17
CNAG_00248,438,760,779,846,668,355,1041,754,4,11,14,2,4,7
CNAG_00249,1850,1391,1783,1031,649,1115,1687,1150,25,49,58,24,15,20
CNAG_00250,0,2,9,0,0,3,1,1,0,0,0,0,0,0
CNAG_00251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00252,1729,1218,1392,1508,974,1227,1625,1253,4,10,14,8,3,8
CNAG_00253,3350,3517,3753,2910,2223,2503,4569,3456,2,16,11,6,4,5
CNAG_00254,5519,2203,3057,1502,1543,3789,4063,2638,7,14,14,10,15,12
CNAG_00255,485,906,863,1242,686,428,1072,644,15,33,33,36,28,37
CNAG_00256,1556,4109,3516,5114,3144,1485,4821,2993,30,98,93,91,74,89
CNAG_00257,2196,3459,3174,2548,2000,1671,4039,2999,8,28,28,22,15,19
CNAG_00258,811,1957,1479,1422,1302,881,2540,2082,1,12,10,16,5,9
CNAG_00259,340,579,614,580,457,373,830,647,8,18,20,41,33,35
CNAG_00260,1271,3227,2665,3699,2443,1084,4440,2511,23,82,82,82,76,88
CNAG_00261,1316,5506,3255,6208,4685,558,2660,1305,114,302,341,306,220,336
CNAG_00262,30,19,28,51,14,12,33,40,0,0,0,0,0,0
CNAG_00263,2380,1914,2463,1856,1233,1528,2189,1793,11,29,18,11,10,11
CNAG_00264,29320,12524,18815,8267,6772,15994,16229,14374,38,99,98,51,61,57
CNAG_00265,725,592,676,804,611,613,822,718,5,12,20,27,22,27
CNAG_00266,1625,1449,1393,1686,1103,1129,2356,1507,1,6,7,5,2,0
CNAG_00267,827,1160,1194,1517,1072,602,1616,1301,3,9,7,0,1,7
CNAG_00268,348,3951,1503,1218,1188,320,2947,1612,46,95,101,176,133,207
CNAG_00269,331,41,102,5,5,40,39,27,2,7,3,0,0,0
CNAG_00270,2937,2083,2219,2230,1628,2616,2713,2079,7,25,40,16,18,20
CNAG_00271,519,1405,1297,1639,951,382,1673,1269,3,14,12,11,5,12
CNAG_00272,1095,2167,1879,3207,2277,1002,3342,2195,6,19,30,14,14,14
CNAG_00273,99,219,213,198,165,112,280,170,1,0,3,5,5,4
CNAG_00274,567,1093,1092,753,481,193,744,490,1,19,25,7,4,8
CNAG_00275,394,632,305,306,417,199,1011,548,1,5,10,8,6,9
CNAG_00276,402,321,327,443,357,343,435,380,1,9,10,9,6,10
CNAG_00277,2684,831,895,1105,760,2838,1131,1178,3,14,15,17,6,16
CNAG_00278,1129,1532,1633,1675,1226,996,2039,1484,5,28,22,12,21,26
CNAG_00279,19297,7435,8335,8104,6360,14631,10573,7730,32,80,70,88,50,82
CNAG_00280,1953,3590,3964,7195,4631,2448,5940,4244,47,128,174,96,82,102
CNAG_00283,1471,2466,2445,2716,1610,1131,3403,2268,4,18,30,25,13,16
CNAG_00284,681,1219,1046,2209,1371,847,1671,1442,5,11,14,9,3,8
CNAG_00285,1264,2563,2286,2253,1758,1061,3806,2698,9,17,19,16,13,19
CNAG_00286,4034,4617,5353,5431,3914,4326,6534,5640,44,90,87,56,58,76
CNAG_00287,27701,25932,31194,31874,26009,23163,41697,28681,26,103,96,29,21,39
CNAG_00288,2183,1202,1161,1050,738,1907,1383,1180,3,17,21,10,6,6
CNAG_00289,1834,1766,1887,2214,1650,1293,2827,1989,5,21,30,12,10,11
CNAG_00290,1064,2100,1859,3819,2515,1260,3476,2162,7,21,31,19,15,17
CNAG_00291,2397,1980,2039,1874,1490,1857,2565,2068,2,33,33,20,26,23
CNAG_00292,6227,5005,5774,4275,3801,4688,8204,6473,26,91,110,159,108,143
CNAG_00293,1435,3210,3060,4595,2980,1226,4502,3051,11,48,47,31,28,22
CNAG_00294,1328,1806,1481,2582,1637,1094,2727,1624,17,33,50,29,24,30
CNAG_00295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00299,844,1954,1558,2745,2164,780,2720,2038,3,6,5,5,4,12
CNAG_00300,1956,2855,2248,1874,1695,548,2201,1367,9,20,31,29,19,30
CNAG_00301,7642,4367,7172,2157,1704,761,1834,1284,16,79,82,43,43,43
CNAG_00302,354,550,568,1029,551,177,640,626,7,16,9,20,13,26
CNAG_00303,232,219,193,217,157,180,258,257,6,4,6,1,1,1
CNAG_00304,858,750,855,681,641,992,1016,1003,1,2,9,4,4,7
CNAG_00305,10749,19428,19287,34015,23679,10013,31671,19515,32,119,106,39,48,56
CNAG_00306,960,1367,1510,1965,1517,1042,3193,1666,81,308,284,90,53,90
CNAG_00307,3114,2465,2919,3471,2483,2053,3756,2908,18,58,70,102,52,85
CNAG_00308,1946,3009,2415,5241,3227,1796,5070,3098,12,30,34,13,17,17
CNAG_00309,1295,2086,1511,4405,3033,1233,3707,2328,8,33,38,32,24,34
CNAG_00310,554,1115,912,1202,985,479,1398,1063,6,11,15,11,7,11
CNAG_00311,1286,3727,2543,4271,3478,1585,5500,3357,10,40,54,58,38,56
CNAG_00312,1458,1562,1617,1785,1324,1184,2136,1675,2,14,10,2,2,8
CNAG_00313,492,1291,905,1551,1220,473,1856,1239,1,4,16,8,3,3
CNAG_00314,967,1508,1407,1911,1508,742,2379,1494,5,9,14,11,1,7
CNAG_00315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00316,1080,1118,1048,1260,1115,852,1490,1090,4,5,17,5,4,8
CNAG_00317,728,1049,874,1266,847,630,1429,959,6,20,25,22,14,18
CNAG_00318,5196,4355,4716,4920,3112,3605,6289,4385,4,36,24,11,14,15
CNAG_00319,1949,2627,2209,3223,2451,1677,3271,2009,19,50,81,44,31,53
CNAG_00320,206,648,491,664,560,150,810,533,5,7,4,5,5,14
CNAG_00321,98,196,142,162,104,80,195,152,2,8,4,3,4,7
CNAG_00322,1401,2180,2132,2418,1740,921,2864,1954,10,17,21,10,4,16
CNAG_00323,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CNAG_00326,1606,4506,4040,5873,4106,1415,7329,4573,17,70,52,79,71,85
CNAG_00327,195,429,299,460,347,180,532,449,1,8,7,5,3,4
CNAG_00328,1196,1725,1496,1408,1308,986,2195,1558,3,3,6,4,1,7
CNAG_00329,1081,2067,1619,3153,1708,871,3038,1587,6,21,21,34,20,31
CNAG_00330,1298,1232,1814,1570,1013,1146,1453,1588,6,13,22,23,14,14
CNAG_00331,0,0,0,5,1,0,4,2,0,0,0,0,1,0
CNAG_00332,329,1026,777,2034,1484,335,1315,980,14,36,30,40,17,31
CNAG_00333,818,1662,1383,2879,1922,689,2498,1787,7,23,20,17,10,14
CNAG_00334,2350,9387,6983,8557,7657,3211,11102,6970,178,512,512,1060,707,992
CNAG_00335,3105,2467,2638,3103,2231,2743,3537,2823,6,23,24,14,12,19
CNAG_00336,2012,3023,3352,1950,1540,1450,3105,3101,2,8,16,9,7,19
CNAG_00337,10544,12049,14008,12952,11812,6733,18055,11596,35,115,112,40,34,56
CNAG_00342,1298,2151,2211,2315,1547,862,2119,1548,14,37,42,20,21,14
CNAG_00343,713,1144,1015,1283,846,614,1678,1193,5,10,17,8,9,15
CNAG_00344,448,981,785,1077,775,368,1225,887,6,7,11,1,4,4
CNAG_00345,931,2365,1942,2700,1970,837,4098,2026,13,57,67,80,73,73
CNAG_00346,1013,1052,886,1002,773,725,1546,1058,1,6,10,9,4,12
CNAG_00347,961,1510,1260,1082,1111,897,2011,1442,5,10,17,8,9,13
CNAG_00348,90,102,105,113,83,78,148,119,0,3,3,1,0,1
CNAG_00349,22,9,43,31,25,134,34,71,5,12,10,2,3,1
CNAG_00351,869,737,861,969,626,868,1030,879,8,15,19,17,17,21
CNAG_00352,2596,2107,2702,3062,2138,2371,3328,2752,6,19,20,9,8,18
CNAG_00353,552,885,803,1016,741,462,1081,841,2,11,14,8,8,9
CNAG_00354,8664,11785,11073,9804,7313,4450,10010,6765,74,151,164,72,74,74
CNAG_00355,10036,4585,5948,3800,2840,7280,5850,5185,21,72,69,64,33,65
CNAG_00356,3530,4560,4595,5255,3471,3173,6501,4722,17,45,45,50,29,59
CNAG_00357,388,789,687,787,542,341,1272,876,1,6,2,3,2,1
CNAG_00358,725,1248,1151,1137,886,689,1523,1266,2,12,10,15,13,14
CNAG_00359,472,1264,1115,1353,960,311,1023,870,15,15,17,22,7,32
CNAG_00360,1,4,0,1,2,1,3,4,0,0,0,1,0,1
CNAG_00361,6247,8224,8976,8175,5965,4420,9991,7370,41,130,157,87,64,103
CNAG_00362,1981,2575,2627,2481,1993,1903,3494,2892,4,17,19,12,11,13
CNAG_00363,4870,6914,6850,5628,5236,3827,9792,6935,20,47,46,48,44,54
CNAG_00364,2108,2407,2548,2748,1937,2696,3353,3016,7,13,17,10,6,10
CNAG_00365,1865,3835,3984,5018,3744,1836,6085,4449,9,26,36,18,21,18
CNAG_00366,38,64,46,115,94,38,91,84,1,2,2,2,0,2
CNAG_00367,826,973,856,964,678,524,1234,824,2,3,12,10,4,12
CNAG_00368,1538,3064,2448,2872,2137,1093,3979,2620,7,22,21,13,16,7
CNAG_00369,6035,2514,2886,2952,2312,4920,3432,3197,9,24,28,17,19,15
CNAG_00370,2221,6209,4566,7925,4937,2649,10033,4814,43,163,210,350,246,336
CNAG_00371,180,500,359,540,380,191,834,553,2,8,5,10,2,7
CNAG_00372,1477,2488,2277,1952,1594,1284,3330,2558,11,34,51,31,24,56
CNAG_00373,1,3,0,1,5,0,6,1,0,0,0,0,0,0
CNAG_00374,7193,5545,9781,7954,5616,7332,10186,9746,69,158,187,59,55,52
CNAG_00375,1493,3379,2682,3376,2384,1475,4557,3498,7,30,31,19,25,26
CNAG_00376,47,24,24,31,10,14,33,17,0,0,0,2,0,1
CNAG_00377,1687,2400,1861,3264,2471,2066,3728,2554,16,52,49,41,39,64
CNAG_00378,335,216,190,309,189,285,307,234,2,3,5,3,1,1
CNAG_00383,1767,4281,3330,5810,3969,1336,5690,3660,13,24,31,22,24,18
CNAG_00384,176,376,179,671,400,141,503,310,3,13,6,7,3,7
CNAG_00385,4062,5689,4406,11454,6595,3354,8154,5527,31,91,102,71,45,77
CNAG_00386,738,1838,1452,2269,1813,936,2407,1759,23,68,92,139,82,115
CNAG_00387,584,1674,1347,2057,1411,536,2254,1606,3,8,11,2,6,11
CNAG_00388,1096,2622,2212,3732,2538,974,3338,2349,7,17,28,23,18,28
CNAG_00389,1295,1217,1429,2142,1152,808,1976,1009,12,20,21,22,11,23
CNAG_00390,957,2403,2196,2315,1519,654,2852,2095,14,22,33,15,10,16
CNAG_00391,133,252,239,169,136,80,334,248,0,3,2,2,2,2
CNAG_00392,501,625,572,705,459,397,817,645,2,9,11,2,6,8
CNAG_00393,6877,7574,4495,6309,5125,4684,13548,6815,38,94,98,94,73,101
CNAG_00394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_00395,1911,1436,1327,1831,1220,1427,1970,1537,6,22,31,19,13,23
CNAG_00396,2162,3085,3207,3435,2437,1604,4788,2967,10,21,33,13,7,16
CNAG_00397,745,1120,1331,1506,1100,853,1784,1621,2,15,11,4,4,4
CNAG_00398,1993,2514,2736,2915,2168,1482,3090,2210,16,71,33,38,40,32
CNAG_00399,2408,4288,3878,4833,3838,1565,5865,4131,6,12,13,46,26,26
CNAG_00400,13379,5519,7013,5796,3455,7308,9826,5865,4,7,5,14,15,15
CNAG_00401,612,1091,1148,1233,761,400,1282,948,4,10,17,3,4,10
