Gene,Wtrep1,Wtrep2,Wtrep3,Kocna1rep1,Kocna1rep2,Kocrz1rep1,Kocrz1rep2,Kocrz1rep3,pmc1005,pmc1006,pmc1007,Wtpmc1008,Wtpmc1009,Wtpmc1010
CNAG_03083,572,495,580,810,578,545,955,721,11,15,24,7,4,5
CNAG_03084,9890,2370,3372,1021,778,8177,5838,4658,0,1,3,14,12,14
CNAG_03085,0,1,0,0,0,2,1,0,0,0,0,0,0,0
CNAG_03086,166,522,377,1230,920,198,935,485,5,17,24,16,14,24
CNAG_03087,32,69,33,34,20,19,76,52,0,0,2,1,0,2
CNAG_03090,99,198,208,245,146,106,266,228,2,6,8,3,7,1
CNAG_03091,11,10,13,16,11,0,15,22,0,0,0,0,0,0
CNAG_03092,917,1817,1552,2087,1486,879,2465,1717,1,15,17,12,13,15
CNAG_03095,16,36,29,58,34,7,24,34,0,1,0,0,1,0
CNAG_03096,4723,1810,2067,2560,1632,5989,2424,2080,11,25,31,25,23,36
CNAG_03097,475,685,634,564,460,428,783,567,7,40,35,26,10,21
CNAG_03098,1138,1576,1712,2126,1331,1015,2524,1773,4,15,17,27,22,27
CNAG_03099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_03100,902,2165,1577,2563,1795,728,2818,1763,3,19,18,26,16,22
CNAG_03101,168,201,188,352,200,192,284,200,2,8,10,12,5,12
CNAG_03102,617,1131,1254,1488,860,465,1227,921,11,33,36,14,15,16
CNAG_03103,2444,5113,5168,6785,4728,2052,6593,4995,20,53,50,38,46,34
CNAG_03104,3219,1827,2167,1907,1487,2249,2453,2197,6,8,6,14,6,20
CNAG_03105,50,155,116,141,96,65,160,155,0,2,0,0,0,2
CNAG_03106,907,1791,1433,2122,1740,850,2577,1777,17,29,36,39,28,38
CNAG_03107,3,2,7,2,4,2,5,6,0,0,0,0,0,1
CNAG_03108,2068,2286,2119,2803,1659,1130,1950,1542,6,15,13,9,6,9
CNAG_03109,3753,6367,4987,13362,7575,2939,9254,6823,8,26,31,32,34,39
CNAG_03110,6511,7838,8294,9189,7137,4128,9166,7461,16,37,51,39,45,43
CNAG_03113,11821,11230,12675,8915,7561,8063,20034,13230,23,80,73,131,108,157
CNAG_03114,31108,10619,17597,13236,8886,16964,18301,15173,32,126,178,185,153,205
CNAG_03115,335,1614,1159,2156,1453,415,2015,1392,4,8,8,8,2,5
CNAG_03116,808,1669,1134,1322,1242,699,2159,1561,14,34,40,37,18,36
CNAG_03117,277,1101,1047,1450,1110,297,1005,997,7,17,26,28,12,18
CNAG_03118,1575,1111,1119,1005,863,1102,1673,1214,3,8,13,5,11,6
CNAG_03119,353,622,524,771,485,212,616,473,3,2,7,10,4,11
CNAG_03120,3148,11166,9457,8131,7068,1651,7935,5459,56,165,173,148,104,137
CNAG_03121,1286,2261,1704,2054,1831,1059,3023,2208,10,25,30,22,15,23
CNAG_03122,302,285,325,309,253,243,321,292,1,10,9,10,7,10
CNAG_03123,2857,1568,1771,1715,1174,2258,2131,1697,0,14,16,12,8,5
CNAG_03124,674,1702,1559,1717,1563,967,2178,1722,19,57,41,60,48,62
CNAG_03125,35,100,52,97,79,27,128,123,1,1,1,0,0,0
CNAG_03126,2175,1135,1556,1379,1145,1387,1673,1415,3,13,24,11,9,13
CNAG_03127,3053,11345,11901,15985,9675,3566,20020,11672,97,349,516,584,398,494
CNAG_03128,611,1745,438,1721,1159,376,2069,858,1,5,5,13,7,10
CNAG_03129,28,126,118,149,123,59,187,135,0,0,0,3,0,2
CNAG_03130,659,916,942,1131,697,611,1346,1022,5,12,14,11,9,18
CNAG_03132,89,77,73,86,65,48,105,99,0,2,5,1,3,2
CNAG_03133,567,1018,768,1176,818,412,1317,873,2,10,21,8,3,6
CNAG_03134,2184,1083,1017,892,711,1127,1218,1092,0,7,6,5,1,2
CNAG_03135,3499,4242,5676,1857,1384,667,1460,1445,4,17,23,16,9,24
CNAG_03136,3315,5102,4823,4761,3830,2558,5801,4227,37,101,94,63,56,85
CNAG_03137,2186,1298,1279,1059,793,1508,1488,1428,2,10,15,9,8,5
CNAG_03138,7022,3012,3540,3307,2566,4176,4452,3501,7,24,26,15,9,16
CNAG_03139,1736,3713,2497,3272,3178,1455,4954,3259,14,34,32,27,29,23
CNAG_03140,1572,1845,1824,1469,1253,1520,2304,1598,55,154,153,200,152,188
CNAG_03141,67,33,32,36,37,65,54,53,0,1,1,0,0,2
CNAG_03142,76872,50121,73405,15542,14142,32047,76764,47960,20,79,83,183,181,148
CNAG_03143,726121,174389,415763,49513,35539,297604,227541,205739,931,4004,6418,2836,2131,2410
CNAG_03144,1177,2079,2225,3902,2246,1091,3191,2465,17,43,58,35,28,31
CNAG_03145,126,127,170,146,83,92,131,191,0,4,4,5,2,0
CNAG_03146,8806,16210,15700,8648,7345,2943,11642,6451,97,233,284,195,123,168
CNAG_03147,759,1468,1627,2077,1343,776,2281,1591,13,31,33,21,20,19
CNAG_03148,261,880,393,846,659,265,1233,751,2,8,9,8,5,14
CNAG_03149,1288,1062,1260,1009,958,968,1440,1268,3,3,7,5,4,3
CNAG_03150,123,309,288,288,269,146,418,330,0,0,4,6,7,5
CNAG_03151,1803,1643,1499,1700,1195,1287,2016,1379,5,29,19,12,9,15
CNAG_03152,950,1699,1611,1126,764,312,1072,670,26,57,73,24,23,30
CNAG_03153,4698,5935,6412,4946,3100,2431,7197,4145,38,88,122,78,50,61
CNAG_03154,3163,3951,5168,1328,773,348,840,600,27,51,67,42,29,41
CNAG_03155,822,1608,1178,1635,1365,609,2204,1385,5,10,12,7,5,3
CNAG_03156,2105,2920,2588,2250,2064,1323,3327,2096,10,24,25,12,6,11
CNAG_03157,1348,2180,2171,2996,2198,1292,3573,2320,11,38,31,28,9,21
CNAG_03158,902,1494,1481,1843,1317,791,2209,1699,5,18,16,16,12,18
CNAG_03159,551,234,281,265,228,844,353,314,2,5,3,3,2,4
CNAG_03160,823,1002,1056,1243,844,524,1262,1020,0,13,1,2,1,0
CNAG_03161,1162,2205,2770,757,648,409,1426,1000,14,26,30,19,14,23
CNAG_03162,8193,6468,10585,11309,7984,6714,11497,9885,30,75,79,21,21,36
CNAG_03163,465,821,729,950,853,530,1213,896,4,18,20,13,6,12
CNAG_03164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_03165,14489,4387,6354,4153,3303,14855,6356,5533,16,27,27,29,16,40
CNAG_03166,47,109,63,109,58,65,161,121,0,0,1,0,0,0
CNAG_03167,64,399,118,370,378,123,667,342,5,6,6,12,6,8
CNAG_03168,1047,1950,2166,2872,1989,1289,2859,2005,320,682,780,627,517,579
CNAG_03169,16,13,0,5,6,2,15,4,0,0,0,1,2,2
CNAG_03170,825,1213,985,1444,969,803,1736,1283,7,25,23,26,18,18
CNAG_03171,1245,2264,2407,1450,1365,957,2698,2060,9,27,19,12,16,18
CNAG_03172,330,564,334,550,460,176,725,443,8,14,19,15,6,12
CNAG_03173,6711,6265,6401,5569,5026,3944,7767,5771,9,12,30,22,14,27
CNAG_03174,1547,948,955,1015,656,1427,1328,990,1,9,4,2,9,9
CNAG_03175,810,1037,908,1025,751,729,1317,930,12,16,8,17,9,21
CNAG_03176,20514,17551,27696,13030,11006,10612,21579,16602,67,194,206,45,36,51
CNAG_03177,210,855,588,862,807,196,883,760,1,2,2,2,0,2
CNAG_03178,2116,1965,1980,1982,1692,1504,3865,2096,0,4,2,6,6,7
CNAG_03179,11,4,4,0,2,4,2,1,0,0,0,0,0,0
CNAG_03181,22,50,59,63,25,24,53,46,1,5,0,1,0,2
CNAG_03182,6466,3782,5582,4529,3557,5105,6686,5042,15,35,48,25,16,25
CNAG_03183,886,2402,1677,2327,2126,840,3127,2112,5,16,21,20,13,16
CNAG_03184,86,401,166,530,436,116,650,460,7,17,24,15,12,14
CNAG_03185,4507,2420,2415,2689,2054,3895,3693,2818,5,29,33,19,16,16
CNAG_03186,2092,1618,1666,1921,1328,1465,2331,1466,35,58,86,41,34,47
CNAG_03187,412,268,307,204,208,273,505,315,0,2,2,0,1,0
CNAG_03188,1487,2559,2081,3117,2423,1097,3170,2215,11,16,26,33,14,22
CNAG_03189,1431,2335,2073,2549,2139,1312,3037,2150,5,26,32,14,21,19
CNAG_03190,2775,6576,6098,7844,5514,2635,9091,6628,32,64,58,65,55,59
CNAG_03191,2700,3176,3106,3157,2629,2283,4574,2998,5,28,29,23,12,21
CNAG_03192,901,787,1176,766,683,553,822,827,3,3,2,5,10,8
CNAG_03193,166,258,227,366,223,72,358,284,3,2,3,0,2,2
CNAG_03194,265,427,395,234,120,110,307,221,2,5,6,6,10,8
CNAG_03195,148,193,291,205,137,131,271,255,0,0,3,1,0,2
CNAG_03196,2712,1829,2557,2105,1510,2723,2733,2364,10,25,24,55,24,44
CNAG_03197,100,173,158,161,129,135,253,202,0,1,1,1,1,1
CNAG_03198,5507,18234,11914,19207,12941,6523,29459,11963,96,276,356,579,430,549
CNAG_03199,232,209,247,248,157,301,363,281,1,3,1,1,1,1
CNAG_03202,1680,3323,2993,2650,2340,1303,4411,3031,10,23,16,27,16,22
CNAG_03203,5318,2666,2953,3050,2314,5379,3647,3099,21,54,53,70,37,52
CNAG_03204,849,1281,1652,1987,1111,538,1606,1185,31,88,96,58,44,75
CNAG_03205,208,609,618,621,493,311,723,677,12,20,20,38,30,37
CNAG_03206,472,791,751,1453,798,349,1145,784,8,35,27,12,6,21
CNAG_03210,3109,3018,3391,4005,2686,2823,4256,3337,7,28,36,25,20,32
